First Name,Last Name,user_id,email,role,functional_unit,department,team,supervisor,NINO,address,city,county,postal,phone
Calvin Edan,Love,CEL0561,Calvin.Edan.Love@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,MQ938548A,,,,,
Jade Felicia,Caldwell,JFC0557,Jade.Felicia.Caldwell@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,IG994441D,,,,,
Aquila Stewart,Dejesus,ASD0577,Aquila.Stewart.Dejesus@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,GJ050822A,,,,,
Gail Rhiannon,Mcconnell,GRM0868,Gail.Rhiannon.Mcconnell@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,MJ856000C,,,,,
April Alika,Levy,AAL0706,April.Alika.Levy@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,FI911014D,,,,,
Rama Vielka,Clayton,RVC0232,Rama.Vielka.Clayton@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,HQ257069D,,,,,
Tasha Casey,Dalton,TCD0009,Tasha.Casey.Dalton@dtaa.com,AdministrativeAssistant,1 - Adminstration,,,Halla Cathleen Simmons,BS521956A,5152 Sophia St,Woodstock Ward,South Gloucestershire,BS15 8DS,
Aurora Sarah,Manning,ASM0575,Aurora.Sarah.Manning@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,ZC443091B,1 Back Canning St,Dunblane and Bridge of Allan W,Stirling,FK9 4LD,
Ferris Omar,Barry,FOB0756,Ferris.Omar.Barry@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,TA990531C,9 Gradwell St,Kempshott Ward,Hampshire,RG22 5HA,
Grant Camden,Gay,GCG0951,Grant.Camden.Gay@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,AR009026B,9205 Upper Hill St,City and Hunslet Ward,West Yorkshire,LS1 5QE,
Aspen Amber,Vinson,AAV0450,Aspen.Amber.Vinson@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,EC248990A,9 Horatio St,Ruckinge,Kent,TN26 2PN,
Colorado John,Valentine,CJV0286,Colorado.John.Valentine@dtaa.com,Technician,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,FA115007D,61 Miriam St,Abbey Road Ward,Greater London,NW8 9BD,
Tyrone Damian,Garner,TDG0962,Tyrone.Damian.Garner@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,VK154689C,67 Pulford St,Prittlewell Ward,Essex,SS2 6NL,
Stephanie Victoria,Lyons,SVL0803,Stephanie.Victoria.Lyons@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,AF455812C,821 Pembroke Place,Kirkby Stephen,Cumbria,CA17 4RZ,
